idno,netustm,ppltrst,vote,prtvtddk,health,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
5816,90,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,1994,60,Male,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",35,37,37,37000,35000,61.0
7251,300,5,Yes,Dansk Folkeparti - Danish People's Party,Fair,1993,40,Female,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,32,34,22000,30000,68.0
7887,360,8,Yes,Socialdemokratiet - The Social democrats,Fair,1983,55,Male,1958,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",25,39,39,36000,42000,89.0
9607,540,9,Yes,Alternativet - The Alternative,Good,1982,64,Female,1964,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",13,32,34,32000,,50.0
11688,,5,Yes,Socialdemokratiet - The Social democrats,Very bad,1968,50,Female,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",2,37,37,,,77.0
12355,120,5,Yes,Socialdemokratiet - The Social democrats,Fair,1987,60,Male,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,38,37,36000,38000,48.0
16357,488,5,Yes,Dansk Folkeparti - Danish People's Party,Very good,2013,50,Male,1991,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,40000,,50.0
17504,210,4,Yes,Dansk Folkeparti - Danish People's Party,Good,2001,45,Female,1984,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,,10,,,51.0
19970,240,9,Yes,Liberal Alliance - Liberal Alliance,Very good,1984,60,Female,1966,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",21,36,36,85000,,42.0
20724,60,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1981,Never too young,Male,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,40,28000,34000,65.0
22248,121,9,Yes,Socialdemokratiet - The Social democrats,Good,1970,Never too young,Female,1950,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,37,37,,,62.0
